account.continue	Continue
adj.asset_drain	Asset Drain
adj.asset_valuation	Asset Valuation
adj.audit_id	AUDIT ID
adj.authorize_loss	Authorize Loss Log
adj.available	Available
adj.change	CHANGE
adj.commit_adjustment	Commit Adjustment
adj.delete_confirm	Delete this adjustment?
adj.elevation_complete	ELEVATION COMPLETE
adj.integrity_audit	Integrity & Loss Audit
adj.loss_authorized	LOSS AUTHORIZED
adj.loss_magnitude	Loss Magnitude
adj.loss_qty	Loss Qty
adj.loss_reason	Loss Reason
adj.magnitude	MAGNITUDE
adj.market_impact	Market Impact
adj.original	Original
adj.pack	Pack
adj.precision_price	Precision Price
adj.price_rectify	Price Rectify
adj.reason_broken	Broken
adj.reason_defective	Defective
adj.reason_expired	Expired
adj.reason_market	Market Shift
adj.reason_policy	Policy Change
adj.reason_promo	Promo End
adj.reason_supplier	Supplier Update
adj.reason_water	Water Damage
adj.rectification_reason	Rectification Reason
adj.reduction_applied	REDUCTION APPLIED
adj.scale	Scale
adj.search_asset	Search Asset
adj.search_placeholder	Search inventory...
adj.security_footer	IMMUTABLE LOG ENTRY • SECURITY LAYER ACTIVE \n VALUE RECOVERY AUDIT TRAIL
adj.select_asset	Select an asset to rectify
adj.select_reason_placeholder	Select reason for shift...
adj.target_asset	Target Asset
adj.unit	Unit
adj.valuation_impact	VALUATION IMPACT
assistant.action_restock	Restock now
assistant.action_review_expenses	Review expenses
assistant.action_view_customers	View customers
assistant.best_selling_item	{name} ({qty} sold)
assistant.best_selling_title	Best Selling Products
assistant.best_selling_value	{name} leading sales
assistant.damaged_desc	{count} items have been marked as damaged.
assistant.damaged_title	{count} Damaged Items
assistant.debt_customers_desc	Total outstanding: ETB {amount}. {overdue} overdue.
assistant.debt_customers_title	{count} Active Debt Customers
assistant.expense_increase_desc	Expenses are up by ETB {diff} compared to last month.
assistant.expense_increase_title	Expense Increase Detected
assistant.highest_value_item	{name} (ETB {value})
assistant.highest_value_title	Highest Value Items
assistant.low_stock_desc_few	{names} are running low.
assistant.low_stock_desc_many	{names} and {count} more need restocking.
assistant.slow_moving_desc	These items have low turnover. Consider promotions or bundles.
assistant.slow_moving_title	{count} Slow-Moving Items
budget.alert_threshold	Alert Threshold
budget.all_periods	All Periods
budget.all_types	All Types
budget.budget_vs_actual	Budget vs Actual
budget.pending_adjustments	Pending Adjustments
common.day_fri	Fri
common.day_mon	Mon
common.day_sat	Sat
common.day_sun	Sun
common.day_thu	Thu
common.day_tue	Tue
common.day_wed	Wed
common.days	Days
common.deleted	Deleted
common.edited	Edited
common.entries	entries
common.notes	Notes
common.optional	Optional
common.preview	Preview
common.save_changes	Save Changes
common.search_customer	Search customer...
common.tap_to_change	Tap to change
common.unit	Unit
common.unknown	Unknown
common.verify	Verify
dash.amount_exceeds	Amount cannot exceed total credit balance.
dash.amount_received	Amount received
dash.amount_required	Enter a valid amount
dash.confirm_payment	Confirm Payment
dash.customer_id	ID: {id}
dash.debt_written_off	Debt written off
dash.no_outstanding	No outstanding customer balances right now.
dash.pending	Pending
dash.settle_credit	Settle Credit
dash.settlement_recorded	Payment recorded
